time_mean,dimension_mean,IP_destination,IP_source,flags1,flags2,flags3,flags4,flags5,flags6,flags7,flags8,method1,method2,method3,method4,method5,method6,method7,method8,class
1,4136,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2122,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2686,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2598,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3657,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2111,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3322,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
15,4823,0,0,750,500,250,250,500,0,250,250,750,0,750,750,500,500,750,500,1
4,2243,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3547,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4332,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2293,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,1771,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2948,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1643,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3996,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,1579,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6411,1,1,500,250,500,500,500,500,250,250,750,500,500,750,750,500,500,750,1
3,4301,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,4393,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2928,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2068,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1712,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1528,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2001,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4399,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1898,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3494,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
7,1622,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3732,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2247,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3623,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1698,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3655,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3863,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4247,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2759,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3952,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3559,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4395,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2489,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2619,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2070,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1598,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2890,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1844,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4309,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
25,4678,1,0,750,250,0,0,250,250,0,750,750,500,250,250,500,0,500,0,1
3,3224,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3514,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3491,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1838,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2871,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4197,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3153,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4365,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2452,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2265,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
5,1863,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3241,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3655,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2042,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3774,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4187,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3170,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4163,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,1628,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
13,8976,1,0,500,250,500,250,500,250,250,500,500,750,500,500,500,500,750,750,1
4,2382,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4221,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2756,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2706,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4098,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3404,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2279,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3475,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,1671,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3889,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2922,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3065,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3562,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1880,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2275,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3823,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3185,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2272,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2628,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1637,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
1,3340,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1822,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2048,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1581,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2670,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3894,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3572,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2920,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2979,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3916,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4269,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3932,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3359,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1746,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3386,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3582,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4198,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2131,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3380,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3658,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3894,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3455,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2017,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2967,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2527,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2866,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2946,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1898,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3750,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2913,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
4,4010,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1651,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3526,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,1824,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2990,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4230,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3647,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3867,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4327,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
17,5766,1,1,250,250,0,750,500,250,250,250,0,500,750,750,500,750,0,0,1
6,3662,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2372,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3743,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4168,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3303,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2373,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2325,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4482,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3423,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3771,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3497,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3802,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3275,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4423,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4146,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3328,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3365,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2636,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3742,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2023,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
5,1751,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3636,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3458,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4132,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1517,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2871,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4162,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2685,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2769,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2577,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2395,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2882,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2946,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2890,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3695,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2771,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2028,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2990,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3113,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
16,5771,0,0,750,500,250,500,250,250,250,250,250,500,0,500,750,0,0,250,1
6,1724,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4091,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3243,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2064,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2816,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3418,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3222,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3608,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1520,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
9,1881,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
2,3487,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,4032,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2711,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1614,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2560,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2334,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2662,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3897,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3547,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4327,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2276,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4185,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2665,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3439,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2543,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3628,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3893,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2863,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2842,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,1500,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,4472,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2305,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4228,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3610,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4281,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3925,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2318,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3531,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2741,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2999,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
2,2388,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1953,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2298,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1679,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1939,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3651,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2076,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2491,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3369,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
9,6870,1,0,250,500,500,250,500,250,250,500,500,750,750,750,500,750,750,500,1
2,3705,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2394,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3605,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2881,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2985,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2995,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3218,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3094,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3457,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2684,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4344,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3846,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3879,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2069,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1700,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3354,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3097,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2013,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4399,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3315,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
6,2831,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2381,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1921,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2081,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2100,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3156,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2268,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2595,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1977,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
20,4726,1,1,500,0,250,500,0,500,250,250,750,500,0,250,0,500,0,250,1
4,3403,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2332,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2647,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3605,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2842,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,1759,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2582,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3363,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3270,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2879,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2595,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1567,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3707,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2486,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2858,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4000,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,4070,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3328,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2319,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
9,1654,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
2,4274,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2628,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4258,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2316,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2274,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1676,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4487,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2666,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3609,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1662,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2313,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2557,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3207,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2529,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3550,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4168,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2001,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1817,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1978,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
21,5351,1,1,0,500,250,250,500,0,500,0,0,750,250,250,0,500,500,750,1
