time_mean,dimension_mean,IP_destination,IP_source,dest_port1,dest_port2,dest_port3,dest_port14,dest_port5,dest_port6,dest_port7,dest_port8,traffic_type1,traffic_type2,traffic_type3,traffic_type4,traffic_type5,traffic_type6,traffic_type7,traffic_type8,class
5,6732,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7875,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8555,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
21,1191,0,1,250,500,250,500,250,0,0,500,750,750,0,750,0,750,750,750,1
8,8073,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6957,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8131,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6695,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6848,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6649,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,6391,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6609,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7800,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4371,1,0,250,250,250,250,250,250,250,250,750,750,750,750,750,750,500,750,1
3,7970,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6866,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7192,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8595,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,8354,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,8175,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7654,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6865,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,6777,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,7925,1,1,250,500,250,500,750,250,0,0,0,0,0,0,0,0,0,0,1
4,8806,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8551,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8413,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8041,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6651,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7855,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7944,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7503,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6159,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6266,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6803,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8754,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7279,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8289,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6478,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7657,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8438,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,7658,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6005,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
17,608,1,1,0,500,250,0,250,0,250,500,750,0,750,750,0,750,0,750,1
6,8862,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7405,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7637,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8957,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,6536,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,6626,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6048,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7654,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8634,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,8016,0,1,250,750,750,250,750,0,0,500,0,0,0,0,0,0,0,0,1
1,7339,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,8764,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7555,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6761,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6825,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8312,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7432,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7475,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6974,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
13,5901,1,1,250,250,250,250,250,250,250,250,750,500,750,750,750,750,750,750,1
5,7848,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,7076,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6324,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6505,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6628,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7350,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6570,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6099,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6022,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6570,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6048,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7725,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8637,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7203,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8572,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7864,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,8123,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7084,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,6170,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
10,8071,1,1,750,750,750,500,500,0,0,250,0,0,0,0,0,0,0,0,1
3,7922,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7213,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6486,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8642,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8943,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,6412,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8038,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7136,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8031,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7548,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,8967,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6840,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7760,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6666,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8774,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6350,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6072,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8398,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8598,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8861,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6327,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6610,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6274,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7282,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7658,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6360,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8454,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8511,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6838,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,7825,1,1,500,750,750,0,750,750,250,500,0,0,0,0,0,0,0,0,1
7,7273,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7077,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7917,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6343,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7409,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6907,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8146,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6791,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6490,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
24,1468,0,0,0,750,0,0,500,0,500,250,750,750,750,0,0,750,750,750,1
3,6211,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7112,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8748,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7483,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8606,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7523,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6553,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6680,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6610,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,8278,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8904,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,8887,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7988,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8307,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8134,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8548,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8450,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8828,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6599,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7972,0,1,750,250,500,750,0,500,0,750,0,0,0,0,0,0,0,0,1
1,7182,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,8713,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8247,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8863,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7945,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7103,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6909,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8843,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6408,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,7372,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6232,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8188,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8303,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6630,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6589,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7681,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7243,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8478,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8369,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
17,779,0,0,250,750,500,750,250,500,250,250,0,0,0,750,0,0,750,750,1
6,6408,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6918,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8649,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7287,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8048,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7462,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8556,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8342,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8596,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8127,0,1,250,500,500,0,750,250,250,0,0,0,0,0,0,0,0,0,1
5,7063,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7053,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7880,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8515,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7260,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7745,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8757,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7111,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7173,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7604,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7910,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6633,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8135,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7316,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7683,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8642,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,8905,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7250,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8843,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6450,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6485,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6831,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,7129,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8662,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8030,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7740,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8964,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6653,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8290,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8658,1,1,250,500,500,0,500,0,750,500,0,0,0,0,0,0,0,0,1
6,8018,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8183,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6594,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7805,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8143,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7546,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8416,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7807,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6426,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4444,1,0,250,250,250,250,250,250,250,250,500,500,500,500,500,500,750,750,1
5,8980,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6320,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7941,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7135,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8962,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8728,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7062,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7757,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8376,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,7294,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6004,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8085,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7710,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7298,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6779,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7496,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7419,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6083,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8102,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8862,1,1,750,750,250,500,250,750,500,500,0,0,0,0,0,0,0,0,1
5,7582,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7077,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6841,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8113,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6930,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8555,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6502,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,8415,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7283,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
16,1045,0,0,750,0,250,500,250,0,500,250,0,750,0,0,0,0,0,750,1
8,6795,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7050,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6145,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7166,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,7727,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6084,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6817,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8595,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8133,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,8371,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7117,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6222,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6112,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6023,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6530,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6994,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6230,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8499,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6075,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,8944,1,1,500,0,0,500,250,250,250,500,0,0,0,0,0,0,0,0,1
1,6494,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7082,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7888,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7515,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7614,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,8121,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6154,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6242,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7351,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,8332,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6784,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6857,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8671,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6217,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6682,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6089,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,8201,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8401,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
