time_mean,dimension_mean,IP_destination,IP_source,flags1,flags2,flags3,flags4,flags5,flags6,flags7,flags8,method1,method2,method3,method4,method5,method6,method7,method8,class
5,1571,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1591,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,1827,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
1,2306,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3395,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3975,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3692,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4008,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3627,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3784,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1632,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2860,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2720,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1627,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4189,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1949,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4269,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3764,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3280,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3201,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3291,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4168,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
17,5977,1,0,0,500,500,250,500,750,500,0,500,500,0,250,250,500,250,750,1
8,2244,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2599,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,4168,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1991,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2036,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4308,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2276,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2770,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2607,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2818,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
4,2258,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4394,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1641,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3538,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2394,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3019,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2264,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2597,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3334,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,7690,1,1,250,250,500,250,500,500,250,500,750,500,750,500,500,500,500,500,1
7,3348,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3933,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4059,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2811,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2423,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2057,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4299,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1831,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3493,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3369,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2587,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3691,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4138,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4081,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2283,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4439,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2636,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2905,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1936,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3105,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
1,4128,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1722,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4220,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4199,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2708,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2797,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,4408,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4382,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4272,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4028,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1709,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2206,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2056,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,1578,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1785,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2649,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2806,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1712,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4095,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2046,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3445,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1645,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,1769,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4419,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3134,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3361,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3955,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1680,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2732,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3434,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
4,3459,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3092,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4061,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3384,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3790,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3895,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3506,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3842,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2585,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
22,5862,0,1,0,250,0,500,0,500,250,250,750,250,750,250,0,0,250,500,1
2,4320,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2124,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,4015,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3300,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1885,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1701,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2813,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3536,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2614,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1546,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3552,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3181,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1781,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2360,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2984,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4221,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3097,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2959,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3410,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2690,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
7,1508,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3931,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4477,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2081,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3772,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2544,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2001,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3741,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2009,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3233,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2058,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3054,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3747,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3856,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2135,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3113,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2621,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3944,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1748,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
16,5670,0,1,500,750,500,750,500,0,250,0,0,250,750,0,500,0,750,0,1
4,3089,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3545,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4493,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2497,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3152,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2107,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2584,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2439,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2990,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3165,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
4,2786,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,1698,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2453,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3994,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4450,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3581,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2746,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2076,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2850,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3287,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2060,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2009,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4440,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4245,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2025,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1806,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2106,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3601,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2432,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4399,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2922,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3654,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1910,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3920,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2504,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3369,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3985,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3282,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3022,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2873,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
1,3091,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1560,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4319,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,4381,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3557,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3717,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1516,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4015,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2072,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
10,7094,1,1,500,250,250,500,250,250,500,250,500,500,750,750,750,750,500,750,1
2,1540,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1628,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3087,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2715,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2333,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,4144,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3184,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2553,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3878,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3038,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3293,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3205,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3637,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3305,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3652,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2910,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3734,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3759,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2184,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2662,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
6,1988,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2150,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1904,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4050,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2184,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1923,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3580,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3023,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1645,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
18,5138,0,1,250,0,0,0,750,250,500,0,250,750,250,0,500,250,0,250,1
5,1840,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3198,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2309,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3228,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3811,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3828,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1954,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2537,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2874,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3412,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3045,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1698,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3450,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3318,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2252,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3027,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2079,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2187,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2692,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1683,1,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
1,1844,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3461,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3257,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3355,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4076,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3604,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1898,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2492,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2553,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2104,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2589,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2274,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3425,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3848,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2672,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,3462,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1577,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4179,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3131,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
15,6496,0,0,0,0,0,500,250,500,0,0,500,250,500,0,250,500,750,0,1
